,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Nazwa,Cena kupiona,Cena zaoferowana,Link,offer_id,Stan:,Kupione,Model,Producent:,Cena
1747,1747,1747,1747,1747,1747,1747,  GTX1060 AERO 3GB GDDR5 GWARANCJA,Brak,499,https://archiwum.allegro.pl//oferta/msi-geforce-gtx1060-aero-3gb-gddr5-gwarancja-i7787126855.html,7787126855,Używany,0,GTX1060,MSI,499
1748,1748,1748,1748,1748,1748,1748,  RX 580 NITRO+ SE TANIO OKAZJA,Brak,730,https://archiwum.allegro.pl//oferta/sapphire-radeon-rx-580-nitro-se-tanio-okazja-i7766429136.html,7766429136,Używany,0,RX580,Sapphire,730
1749,1749,1749,1749,1749,1749,1749," Dual GTX 1070 8GB GDDR5, 24M GW, FV23%",1225,1225,https://archiwum.allegro.pl//oferta/asus-dual-gtx-1070-8gb-gddr5-24m-gw-fv23-i7778963589.html,7778963589,Używany,1,GTX1070,ASUS,1225
1750,1750,1750,1750,1750,1750,1750,  GTX 1060 Expedition  6GB GDDR5 192b,Brak,1595,https://archiwum.allegro.pl//oferta/asus-geforce-gtx-1060-expedition-oc-6gb-gddr5-192b-i7289997705.html,7289997705,Nowy,0,GTX1060,Asus,1595
1751,1751,1751,1751,1751,1751,1751,   GTX 1070,965,965,https://archiwum.allegro.pl//oferta/karta-graficzna-gigabyte-gtx-1070-i7773189486.html,7773189486,Używany,1,GTX1070,Gigabyte,965
1752,1752,1752,1752,1752,1752,1752,  GTX 960  DirectCU II  2GB DDR5,Brak,429,https://archiwum.allegro.pl//oferta/asus-geforce-gtx-960-strix-directcu-ii-oc-2gb-ddr5-i7723563534.html,7723563534,Używany,0,GTX960,Asus,429
1753,1753,1753,1753,1753,1753,1753,  GTX 1050 SC  2GB,Brak,679,https://archiwum.allegro.pl//oferta/evga-geforce-gtx-1050-sc-gaming-2gb-i7688553035.html,7688553035,Nowy,0,GTX1050,EVGA,679
1754,1754,1754,1754,1754,1754,1754,  GTX 980 Ti 6GB  X Warszawa Sklep,Brak,1440,https://archiwum.allegro.pl//oferta/msi-geforce-gtx-980-ti-6gb-gaming-x-warszawa-sklep-i7776423352.html,7776423352,Używany,0,GTX980ti,MSI,1440
1755,1755,1755,1755,1755,1755,1755,  RX 470 MINING H 4GB LED 256BIT DVI,Brak,516,https://archiwum.allegro.pl//oferta/asus-radeon-rx-470-mining-h-4gb-led-256bit-dvi-i7756848624.html,7756848624,Nowy,0,RX470,ASUS,516
1756,1756,1756,1756,1756,1756,1756,OUTLET    GTX 1070 Ti  8GB,Brak,1749,https://archiwum.allegro.pl//oferta/outlet-karta-msi-geforce-gtx-1070-ti-gaming-8gb-i7773023946.html,7773023946,Nowy,0,GTX1070ti,MSI,1749
1757,1757,1757,1757,1757,1757,1757,  RX 570 4GB XXX ,Brak,889,https://archiwum.allegro.pl//oferta/xfx-radeon-rx-570-4gb-xxx-oc-i7766808503.html,7766808503,Nowy,0,RX570,XFX,889
1758,1758,1758,1758,1758,1758,1758,  GTX 1050 Ti KalmX 4GB,Brak,550,https://archiwum.allegro.pl//oferta/palit-geforce-gtx-1050-ti-kalmx-4gb-i7775847644.html,7775847644,Używany,0,GTX1050ti,Palit,550
1759,1759,1759,1759,1759,1759,1759, GTX 1070 G1  RK Edition,Brak,1150,https://archiwum.allegro.pl//oferta/gigabyte-gtx-1070-g1-gaming-rock-edition-i7778945541.html,7778945541,Używany,0,GTX1070,Gigabyte,1150
1760,1760,1760,1760,1760,1760,1760,  GTX 1070 Phoenix GS - GW,Brak,1020,https://archiwum.allegro.pl//oferta/gainward-geforce-gtx-1070-phoenix-gs-gw-i7786330978.html,7786330978,Używany,0,GTX1070,Gainward,1020
1761,1761,1761,1761,1761,1761,1761, Geforce GTX 1060  X 6GB BOX GWARANCJA,Brak,800,https://archiwum.allegro.pl//oferta/msi-geforce-gtx-1060-gaming-x-6gb-box-gwarancja-i7786191176.html,7786191176,Używany,0,GTX1060,MSI,800
1762,1762,1762,1762,1762,1762,1762, -GTX1060-O6G- Asus ROG -GTX10,Brak,2111,https://archiwum.allegro.pl//oferta/asus-strix-gtx1060-o6g-gaming-asus-rog-strix-gtx10-i7775713889.html,7775713889,Nowy,0,GTX1060,ASUS,2111
1763,1763,1763,1763,1763,1763,1763,    RX560   4G,Brak,639,https://archiwum.allegro.pl//oferta/karta-graficzna-gigabyte-radeon-rx560-gaming-oc-4g-i7643495550.html,7643495550,Nowy,0,RX560,Gigabyte,639
